ticker,positionState,openTime,closeTime
AAPL,open,1,2
TSLA,open,1629208179.03906,1629294579.03899
CWST,open,1629211150.703155,1629297550.703066
APH,open,1629211499.651652,1629297899.651563
FUNC,open,1629211499.653531,1629297899.653467
SLAB,open,1629211499.655273,1629297899.655206
STRT,open,1629211499.657111,1629297899.657037
NEE,open,1629213092.179635,1629299492.179563
TPL,open,1629213092.181297,1629299492.181235
MTD,open,1629215440.433402,1629301840.433316
NVRO,open,1629215721.566205,1629302121.566135
QMCO,open,1629216962.893466,1629303362.893353
ENVA,open,1629217193.477718,1629303593.477639
SKLZ,open,1629217193.479397,1629303593.479325
SRGA,open,1629217193.481054,1629303593.480986
AWR,open,1629217431.15569,1629303831.155601
DRMA,open,1629219406.343992,1629305806.343902
GAIA,open,1629219406.345734,1629305806.345667
MIMO,open,1629219406.347304,1629305806.347239
SURG,open,1629219406.348824,1629305806.348757
WAT,open,1629219689.991598,1629306089.991521
APTS,open,1629219911.950088,1629306311.950004
STFC,open,1629220698.20467,1629307098.204581
CWBC,open,1629221144.92808,1629307544.927999
HSTA,open,1629222531.453804,1629308931.453715
CPSI,open,1629222608.791936,1629309008.791871
YUM,open,1629223276.216193,1629309676.216126
TSN,open,1629223532.785271,1629309932.785195
RMD,open,1629223732.813145,1629310132.813058
CIEN,open,1629224110.126573,1629310510.126483
KE,open,1629224433.182174,1629310833.182091
BDSX,open,1629225190.358541,1629311590.358445
CIR,open,1629225190.360401,1629311590.360338
TMP,open,1629225332.755206,1629311732.755132
CZNC,open,1629225796.092235,1629312196.092142
JBLU,open,1629225796.094112,1629312196.094043
RBA,open,1629225796.095858,1629312196.095792
IIIN,open,1629225820.650035,1629312220.649949
BHB,open,1629226060.938803,1629312460.938706
FFIV,open,1629226060.940728,1629312460.94065
NTGR,open,1629226341.092135,1629312741.092047
